D_norm
,,number_populations,number_populations,number_populations
,,1,2,3
Dist_Type,normal,0.0,0.0,0.1
Dist_Type,lognormal,0.0,0.1,0.8
D
,,number_populations,number_populations,number_populations
,,1,2,3
Dist_Type,normal,0.0,0.0,0.0
Dist_Type,lognormal,0.0,0.0,1.0
A
,,number_populations,number_populations,number_populations
,,1,2,3
Dist_Type,normal,0.0,0.0,1.0
Dist_Type,lognormal,0.0,0.0,0.0
V
,,number_populations,number_populations,number_populations
,,1,2,3
Dist_Type,normal,0.0,0.0,0.5
Dist_Type,lognormal,0.0,0.2,0.3
