D
,1,2,3
mean,7.607660837709972e-05,0.0007861718475498307,0.001332821478584156
median,7.361522503134042e-05,0.0006472239925889036,0.0012807296829324558
std,4.236684965919417e-05,0.000617524268147207,0.0002468491298284234
iqr,7.546806694988906e-05,0.00039014618223446256,0.00038299910135860486
