V
,1,2,3
mean,0.009250102905111917,0.020107054481581118,0.033947204420262445
median,0.009124405955427912,0.01948159036083083,0.032239901364196674
std,0.0031918772370802847,0.0032766840367962273,0.005305353370138042
iqr,0.004950265671661561,0.005212629282565162,0.00717846031559926
